Jay Hernández
Tom Hernández
Ruth Hiatt
William Hickey
Doris Hill
Lauryn Hill
Steven Hill
Hillary Brooke
Perez Hilton
Lawrence Hilton-Jacobs
Brendan Hines
Cheryl Hines
Gregory Hines
Hallee Hirsh
Ho-Sung Pak
Harriet Hoctor
Aldis Hodge
Hulk Hogan
Hal Holbrook
Polly Holliday
Laurel Holloman
Helen Holmes
Jack Holt
Jennifer Holt
Stephanie Honoré
Edna Wallace Hopper
Dennis Hopper
DeWolf Hopper
Hedda Hopper
William Hopper
Michelle Horn
Richard Steven Horvitz
George F. Houston
Ann Hovey
Bryce Dallas Howard
Jack Hoxie
Stella Hudgens
Ernie Hudson
Rochelle Hudson
Rock Hudson
Frank John Hughes
Lloyd Hughes
Tom Hulce
Henry Hull
Arthur Hunnicutt
Bonnie Hunt
Kim Hunter
Sam Huntington
Jackson Hurst
Toby Huss
Virginia Huston
Connor Hutcherson
Josephine Hutchinson
Charles Hutchison
Jim Hutton
Lauren Hutton
Phyllis Hyman
Jerry Hyman
Ice Cube
Ice T
Jeff Imada
Imogene Coca
Ira Heiden
Irene Bedard
Irene Olga López
Oscar Isaac
Chris Isaak
Miki Ishikawa
Željko Ivanek
Sam J. Jones
George J. Lewis
Jaci Velásquez
Jadin Gould
James Fuller
David St. James
Kevin James
Thomas Jane
Janel Parrish
Jenette Goldstein
Janis Ward
David Janssen
Jason Bateman
Jason Hervey
Jason James Ritcher
Jay-R
Jean Speegle Howard
LaShawn Tináh Jefferies
Allen Jenkins
Ruby Jerins
Jess Barker
Michael Jeter
Jim O'Heir
Jodi Draigie
Joe Grifasi
Joe Rogan
Joe Swanberg
John G. Brennan
John Litel
John Turk
Alexz Johnson
Ashley Johnson
Don Johnson
Martin Johnson
Van Johnson
Julanne Johnston
Kristen Johnston
I. Stanford Jolley
Al Jolson
Jon Huertas
Joe Jonas
Jonathan Goldstein
Dean Jones
Cherry Jones
Angus T. Jones
Buck Jones
Doug Jones
Mary-Charles Jones
Jonny Cruz
Jose Pablo Cantillo
Joseph Bologna
Joseph Cali
Josh Henderson
Leatrice Joy
Natalie Joyce
Alice Joyce
Wynonna Judd
Arline Judge
Christopher Judge
June Lockhart
Allen Jung
Peter Jurasik
Jane Kaczmarek
Michael Kagan
Daren Kagasoff
Bianca Kajlich
Helen Kane
Kourtney Kardashian
Sarah Rose Karr
Jean Kasem
Katalin Zamiar
Kathryn Newton
Katrina Johnson
Andreas Katsulas
Nicky Katt
William Katt
Chris Kattan
Andy Kaufman
Julie Kavner
Stacy Keach
Doris Keane
Howard Keel
Ruby Keeler
Matt Keeslar
Keir Dullea
Ian Keith
Robert Kellard
Ryan Kelley
Celeste Kellogg
Kelly Carlson
Kelly Karbacz
Dorothy Kelly
Gene Kelly
Jack Kelly
Nancy Kelly
Patsy Kelly
Kelsey Chow
Ken Page
Cory Kennedy
Jamie Kennedy
Kenny Wormald
Barbara Kent
Elizabeth Kerr
Patrick Kerr
Kerri Hoskins
Kerry Remsen
Brian Kerwin
Laura Ann Kesling
Kevin Patrick Walls
Kathleen Key
Simbi Khali
Michael Kidd
Percy Kilbride
Q'orianka Kilcher
